profile,price_region,radius,draw,guaranteed,original_retained
resource_constrained,positive_gaps,0.25,6,31,28
resource_constrained,positive_gaps,0.5,6,14,14
resource_constrained,positive_gaps,0.75,6,10,10
resource_constrained,monotone,0,7,40,39
resource_constrained,monotone,0.1,7,39,38
resource_constrained,monotone,0.25,7,29,29
resource_constrained,monotone,0.5,7,15,15
resource_constrained,monotone,0.75,7,13,13
resource_constrained,positive_gaps,0,7,40,39
resource_constrained,positive_gaps,0.1,7,39,38
resource_constrained,positive_gaps,0.25,7,30,30
resource_constrained,positive_gaps,0.5,7,16,16
resource_constrained,positive_gaps,0.75,7,13,13
resource_constrained,monotone,0,8,39,36
resource_constrained,monotone,0.1,8,38,35
resource_constrained,monotone,0.25,8,29,27
resource_constrained,monotone,0.5,8,11,11
resource_constrained,monotone,0.75,8,9,9
resource_constrained,positive_gaps,0,8,39,36
resource_constrained,positive_gaps,0.1,8,38,35
resource_constrained,positive_gaps,0.25,8,31,28
resource_constrained,positive_gaps,0.5,8,11,11
resource_constrained,positive_gaps,0.75,8,9,9
resource_constrained,monotone,0,9,41,36
resource_constrained,monotone,0.1,9,41,36
resource_constrained,monotone,0.25,9,31,30
resource_constrained,monotone,0.5,9,14,14
resource_constrained,monotone,0.75,9,13,13
resource_constrained,positive_gaps,0,9,41,36
resource_constrained,positive_gaps,0.1,9,41,36
resource_constrained,positive_gaps,0.25,9,32,31
resource_constrained,positive_gaps,0.5,9,17,16
resource_constrained,positive_gaps,0.75,9,14,13
resource_constrained,monotone,0,10,48,40
resource_constrained,monotone,0.1,10,47,39
resource_constrained,monotone,0.25,10,33,30
resource_constrained,monotone,0.5,10,11,11
resource_constrained,monotone,0.75,10,11,11
resource_constrained,positive_gaps,0,10,48,40
resource_constrained,positive_gaps,0.1,10,47,39
resource_constrained,positive_gaps,0.25,10,35,32
resource_constrained,positive_gaps,0.5,10,12,11
resource_constrained,positive_gaps,0.75,10,12,11
resource_constrained,monotone,0,11,42,36
resource_constrained,monotone,0.1,11,41,35
resource_constrained,monotone,0.25,11,32,30
resource_constrained,monotone,0.5,11,14,14
resource_constrained,monotone,0.75,11,11,11
resource_constrained,positive_gaps,0,11,42,36
resource_constrained,positive_gaps,0.1,11,41,35
resource_constrained,positive_gaps,0.25,11,33,31
resource_constrained,positive_gaps,0.5,11,17,17
resource_constrained,positive_gaps,0.75,11,11,11
resource_constrained,monotone,0,12,38,31
resource_constrained,monotone,0.1,12,36,30
resource_constrained,monotone,0.25,12,29,26
resource_constrained,monotone,0.5,12,16,15
resource_constrained,monotone,0.75,12,16,15
resource_constrained,positive_gaps,0,12,38,31
resource_constrained,positive_gaps,0.1,12,36,30
