profile,draw,frontier_size,added,removed,jaccard,affordable_candidates,best_affordable_mean_hours_lost
high_capacity,108,12,3,0,0.75,16,13.06720833
resource_constrained,109,63,4,5,0.8676470588,17,156.9935625
intermediate_capacity,109,16,0,6,0.7272727273,44,24.5055625
high_capacity,109,7,1,3,0.6,16,13.06720833
resource_constrained,110,73,12,3,0.8026315789,18,156.9935625
intermediate_capacity,110,26,5,1,0.7777777778,58,21.58458333
high_capacity,110,9,0,0,1,16,13.06720833
resource_constrained,111,119,58,3,0.5,34,205.5636667
intermediate_capacity,111,45,23,0,0.4888888889,59,27.79154167
high_capacity,111,12,3,0,0.75,16,13.06720833
resource_constrained,112,73,15,6,0.7341772152,23,156.9935625
intermediate_capacity,112,26,5,1,0.7777777778,60,24.33625
high_capacity,112,8,0,1,0.8888888889,16,13.06720833
resource_constrained,113,106,42,0,0.6037735849,21,207.6623542
intermediate_capacity,113,35,13,0,0.6285714286,80,21.05622917
high_capacity,113,14,5,0,0.6428571429,16,13.06720833
resource_constrained,114,81,20,3,0.7261904762,15,200.584375
intermediate_capacity,114,27,7,2,0.6896551724,31,33.0049375
high_capacity,114,10,1,0,0.9,15,13.08197917
resource_constrained,115,85,26,5,0.6555555556,11,207.6623542
intermediate_capacity,115,30,12,4,0.5294117647,28,34.79958333
high_capacity,115,11,2,0,0.8181818182,15,13.08197917
resource_constrained,116,84,23,3,0.7011494253,25,155.6040833
intermediate_capacity,116,35,13,0,0.6285714286,47,24.33625
high_capacity,116,8,0,1,0.8888888889,16,13.06720833
resource_constrained,117,74,16,6,0.725,16,156.9935625
intermediate_capacity,117,22,4,4,0.6923076923,42,24.5055625
high_capacity,117,9,1,1,0.8,16,13.06720833
resource_constrained,118,91,28,1,0.6847826087,19,207.5997292
intermediate_capacity,118,27,7,2,0.6896551724,58,21.05622917
high_capacity,118,12,3,0,0.75,16,13.06720833
resource_constrained,119,99,37,2,0.6138613861,29,156.9935625
intermediate_capacity,119,30,8,0,0.7333333333,77,21.58458333
high_capacity,119,8,0,1,0.8888888889,16,13.06720833
resource_constrained,120,82,25,7,0.6404494382,17,207.5997292
intermediate_capacity,120,29,9,2,0.6451612903,42,34.79958333
high_capacity,120,9,1,1,0.8,16,13.06720833
resource_constrained,121,94,30,0,0.6808510638,22,205.5636667
intermediate_capacity,121,36,14,0,0.6111111111,66,24.33625
high_capacity,121,8,0,1,0.8888888889,16,13.06720833
resource_constrained,122,81,19,2,0.7469879518,13,207.6623542
intermediate_capacity,122,28,8,2,0.6666666667,38,34.79958333
high_capacity,122,12,3,0,0.75,16,13.06720833
resource_constrained,123,79,19,4,0.7228915663,20,156.9935625
intermediate_capacity,123,26,6,2,0.7142857143,43,27.79154167
high_capacity,123,8,0,1,0.8888888889,16,13.06720833
resource_constrained,124,105,47,6,0.5225225225,28,205.5636667
intermediate_capacity,124,39,19,2,0.487804878,52,24.93072917
high_capacity,124,9,1,1,0.8,16,13.06720833
resource_constrained,125,117,55,2,0.5210084034,21,207.6623542
intermediate_capacity,125,43,23,2,0.4444444444,44,27.79154167
high_capacity,125,10,1,0,0.9,16,13.06720833
resource_constrained,126,92,30,2,0.6595744681,32,155.6040833
intermediate_capacity,126,31,11,2,0.6060606061,52,24.33625
high_capacity,126,10,1,0,0.9,16,13.06720833
resource_constrained,127,87,25,2,0.6966292135,18,156.9935625
intermediate_capacity,127,33,11,0,0.6666666667,41,26.9125
high_capacity,127,11,2,0,0.8181818182,15,13.08197917
resource_constrained,128,64,4,4,0.8823529412,10,207.6623542
intermediate_capacity,128,24,3,1,0.84,44,24.33625
high_capacity,128,11,2,0,0.8181818182,15,13.08197917
resource_constrained,129,79,19,4,0.7228915663,18,207.5997292
intermediate_capacity,129,30,10,2,0.625,48,24.5055625
high_capacity,129,11,2,0,0.8181818182,16,13.06720833
resource_constrained,130,65,6,5,0.8428571429,15,207.5997292
