portfolio,attacker,trial,weighted_service_hours_lost,catastrophic,identity_compromised,total_compromised
fast_detection,naive,22,11.000000000000002,0,1,2
fast_detection,adaptive,22,140.87500000000003,1,1,200
fast_detection,naive,23,107.45,1,1,185
fast_detection,adaptive,23,152.6,1,1,272
fast_detection,naive,24,124.925,1,1,165
fast_detection,adaptive,24,170.225,1,1,206
fast_detection,naive,25,4.0,0,0,1
fast_detection,adaptive,25,9.625,1,0,2
fast_detection,naive,26,131.3,1,1,175
fast_detection,adaptive,26,142.525,1,1,236
fast_detection,naive,27,12.65,1,0,4
fast_detection,adaptive,27,129.625,1,1,250
fast_detection,naive,28,2.8,0,0,1
fast_detection,adaptive,28,109.225,1,1,233
fast_detection,naive,29,100.075,1,1,148
fast_detection,adaptive,29,145.025,1,1,231
fast_detection,naive,30,10.000000000000002,0,0,3
fast_detection,adaptive,30,119.14999999999998,1,1,241
fast_detection,naive,31,110.19999999999999,1,1,160
fast_detection,adaptive,31,149.5,1,1,235
fast_detection,naive,32,0.2,0,0,1
fast_detection,adaptive,32,153.60000000000002,1,1,233
fast_detection,naive,33,116.7,1,1,168
fast_detection,adaptive,33,149.45,1,1,241
fast_detection,naive,34,124.67500000000001,1,1,180
fast_detection,adaptive,34,131.57500000000002,1,1,230
fast_detection,naive,35,2.0,0,0,1
fast_detection,adaptive,35,128.675,1,1,285
fast_detection,naive,36,145.45000000000002,1,1,172
fast_detection,adaptive,36,125.125,1,1,242
fast_detection,naive,37,131.1,1,1,174
fast_detection,adaptive,37,129.97500000000002,1,1,257
fast_detection,naive,38,119.72500000000001,1,1,189
fast_detection,adaptive,38,120.24999999999999,1,1,270
fast_detection,naive,39,132.0,1,1,117
fast_detection,adaptive,39,116.20000000000002,1,1,195
fast_detection,naive,40,6.0,0,0,1
fast_detection,adaptive,40,123.4,1,1,269
fast_detection,naive,41,108.85000000000001,1,1,186
fast_detection,adaptive,41,166.25,1,1,261
fast_detection,naive,42,3.8,0,0,3
fast_detection,adaptive,42,121.825,1,1,223
fast_detection,naive,43,119.07499999999999,1,1,138
fast_detection,adaptive,43,154.9,1,1,201
fast_detection,naive,44,13.4,1,0,4
fast_detection,adaptive,44,104.325,1,1,254
fast_detection,naive,45,4.800000000000001,0,0,1
fast_detection,adaptive,45,126.825,1,1,242
fast_detection,naive,46,133.6,1,1,171
fast_detection,adaptive,46,169.725,1,1,238
fast_detection,naive,47,149.45,1,1,191
fast_detection,adaptive,47,208.49999999999997,1,1,257
fast_detection,naive,48,4.2,0,0,2
fast_detection,adaptive,48,133.97500000000002,1,1,246
fast_detection,naive,49,105.85000000000002,1,1,175
fast_detection,adaptive,49,134.625,1,1,267
fast_detection,naive,50,2.5999999999999996,0,0,2
fast_detection,adaptive,50,141.45000000000002,1,1,268
fast_detection,naive,51,156.45,1,1,196
fast_detection,adaptive,51,115.57499999999999,1,1,285
fast_detection,naive,52,129.325,1,1,140
fast_detection,adaptive,52,122.275,1,1,200
fast_detection,naive,53,148.25,1,1,197
fast_detection,adaptive,53,127.67500000000001,1,1,255
fast_detection,naive,54,95.27499999999999,1,1,150
fast_detection,adaptive,54,133.2,1,1,216
fast_detection,naive,55,111.05,1,1,164
fast_detection,adaptive,55,127.5,1,1,245
fast_detection,naive,56,129.4,1,1,190
fast_detection,adaptive,56,148.1,1,1,255
fast_detection,naive,57,0.0,0,0,3
fast_detection,adaptive,57,125.125,1,1,258
fast_detection,naive,58,138.175,1,1,161
fast_detection,adaptive,58,128.55,1,1,220
fast_detection,naive,59,99.65,1,1,138
fast_detection,adaptive,59,122.37499999999999,1,1,203
isolated_backups,naive,0,183.45000000000002,1,1,201
isolated_backups,adaptive,0,95.375,1,1,236
isolated_backups,naive,1,167.375,1,1,224
isolated_backups,adaptive,1,142.125,1,1,264
isolated_backups,naive,2,0.0,0,0,1
isolated_backups,adaptive,2,159.32500000000002,1,1,263
isolated_backups,naive,3,168.65,1,1,166
isolated_backups,adaptive,3,150.275,1,1,194
isolated_backups,naive,4,151.7,1,1,199
isolated_backups,adaptive,4,139.1,1,1,228
isolated_backups,naive,5,112.47500000000002,1,1,182
isolated_backups,adaptive,5,126.95,1,1,207
isolated_backups,naive,6,143.15,1,1,211
isolated_backups,adaptive,6,148.10000000000002,1,1,243
isolated_backups,naive,7,138.6,1,1,249
isolated_backups,adaptive,7,136.375,1,1,279
isolated_backups,naive,8,173.475,1,1,191
isolated_backups,adaptive,8,104.075,1,1,218
isolated_backups,naive,9,148.55,1,1,186
isolated_backups,adaptive,9,105.925,1,1,209
isolated_backups,naive,10,3.8,0,0,4
isolated_backups,adaptive,10,173.125,1,1,238
isolated_backups,naive,11,145.375,1,1,219
isolated_backups,adaptive,11,162.17499999999998,1,1,251
isolated_backups,naive,12,186.29999999999998,1,1,232
isolated_backups,adaptive,12,115.2,1,1,262
isolated_backups,naive,13,136.05,1,1,255
isolated_backups,adaptive,13,127.35000000000001,1,1,277
isolated_backups,naive,14,169.70000000000002,1,1,182
isolated_backups,adaptive,14,120.30000000000001,1,1,198
isolated_backups,naive,15,0.8,0,0,1
isolated_backups,adaptive,15,180.075,1,1,250
isolated_backups,naive,16,209.72500000000002,1,1,222
isolated_backups,adaptive,16,138.225,1,1,247
