facility,profile,portfolio,metric,n,mean,median,std,iqr,p90,p95,ci95_lo,ci95_hi
large_hospital,intermediate_capacity,least_privilege,pct_compromised,125,0.2989995134,0.4840613932,0.2730263456,0.5482542553,0.5959299906,0.6199847723,0.253216085,0.3492938869
large_hospital,intermediate_capacity,least_privilege,catastrophic,125,0.592,1,0.4934408485,1,1,1,0.504,0.68
large_hospital,intermediate_capacity,least_privilege,total_service_downtime_steps,125,549.096,780,480.1674678,960,1095.6,1154,463.326,634.0676
large_hospital,intermediate_capacity,least_privilege,backup_compromised,125,0.568,1,0.4973478046,1,1,1,0.48,0.656
large_hospital,intermediate_capacity,least_privilege,identity_compromised,125,0.576,1,0.4961789479,1,1,1,0.488,0.664
large_hospital,intermediate_capacity,least_privilege,recovered_within_horizon,125,0.424,0,0.4961789479,1,1,1,0.336,0.512
large_hospital,intermediate_capacity,least_privilege,pct_clinical_capacity_lost,125,0.4162757353,0.5851715686,0.3601886766,0.7173713235,0.828125,0.8771446078,0.3525400735,0.480139185
large_hospital,intermediate_capacity,least_privilege,defensive_isolation_node_steps,125,2117.248,1985,489.5077458,886,2776.2,2922.6,2030.0526,2204.2754
large_hospital,intermediate_capacity,patch_90,weighted_service_hours_lost,125,164.6346,209.675,91.98590907,60.075,233.395,236.97,147.823865,180.88779
large_hospital,intermediate_capacity,patch_90,pct_compromised,125,0.5770318066,0.7538461538,0.3321992834,0.0668216117,0.7948551435,0.8004263714,0.5157361965,0.6358922195
large_hospital,intermediate_capacity,patch_90,catastrophic,125,0.768,1,0.4238076253,0,1,1,0.688,0.84
large_hospital,intermediate_capacity,patch_90,total_service_downtime_steps,125,873.944,1110,487.8151472,325,1236.6,1253.6,784.8338,960.4714
large_hospital,intermediate_capacity,patch_90,backup_compromised,125,0.768,1,0.4238076253,0,1,1,0.688,0.84
