family,reference,treatment,profile,n,d_weighted_service_hours_lost,d_weighted_service_hours_lost_lo,d_weighted_service_hours_lost_hi,d_sustained_clinical_outage_k4,d_sustained_clinical_outage_k4_lo,d_sustained_clinical_outage_k4_hi,d_sustained_clinical_outage_k1,d_sustained_clinical_outage_k1_lo,d_sustained_clinical_outage_k1_hi,d_ever_compromised_fraction,d_ever_compromised_fraction_lo,d_ever_compromised_fraction_hi,share_worse_hours,share_better_hours
vs_passive,passive,q_soft_today,resource_constrained,200,-31.08975,-48.14335520833333,-14.782881250000008,-0.04,-0.07,-0.01,-0.035,-0.065,-0.01,-0.2769037518119305,-0.32284056411374473,-0.23305245500310812,0.56,0.44
vs_passive,passive,q_soft_today_shielded,pooled,600,-4.633861111111113,-8.258154513888888,-1.0222510416666677,-0.006666666666666667,-0.013333333333333334,-0.0016666666666666668,-0.005,-0.011666666666666667,0.0,-0.12090806392014504,-0.12861520918388372,-0.11378975694948913,0.40166666666666667,0.34
vs_passive,passive,q_soft_today_shielded,high_capacity,200,0.04916666666666673,-0.340459375,0.31221458333333335,-0.02,-0.04,-0.005,-0.015,-0.035,0.0,-0.0010956105138629308,-0.0021349733214229252,-0.0002751789394650088,0.38,0.045
vs_passive,passive,q_soft_today_shielded,intermediate_capacity,200,-19.489625,-28.08549895833333,-10.049408333333337,0.0,0.0,0.0,0.0,0.0,0.0,-0.24087246253652164,-0.2621513338672341,-0.21937071188853502,0.345,0.53
vs_passive,passive,q_soft_today_shielded,resource_constrained,200,5.538874999999999,0.05183125000000021,11.02208958333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.12075611871005058,-0.12728098819356012,-0.11404891300611388,0.48,0.445
shield_effect,q_soft_today,q_soft_today_shielded,pooled,600,21.66961111111111,12.940766666666663,30.205174305555552,0.006666666666666667,-0.025,0.03666666666666667,-0.018333333333333333,-0.05,0.01,0.1333328754947856,0.11591979852181854,0.15204795390381223,0.3383333333333333,0.6616666666666666
shield_effect,q_soft_today,q_soft_today_shielded,high_capacity,200,-24.80679166666667,-35.28670104166666,-15.579933333333349,-0.165,-0.225,-0.11,-0.19,-0.25,-0.13,0.007913326668296378,0.006204234507084909,0.009884716054474394,0.04,0.96
shield_effect,q_soft_today,q_soft_today_shielded,intermediate_capacity,200,53.187,35.60261562499999,70.63527291666665,0.145,0.08,0.21,0.1,0.04,0.165,0.23593766671418057,0.2042673248229604,0.27019997981150723,0.56,0.44
shield_effect,q_soft_today,q_soft_today_shielded,resource_constrained,200,36.628625,20.352497916666664,53.64968541666666,0.04,0.01,0.07,0.035,0.009875000000000007,0.065,0.15614763310187993,0.11466005700815514,0.19968363969116754,0.415,0.585
vs_passive,passive_replicas,q_soft_replicas,pooled,600,-130.07008333333334,-136.835440625,-122.95682916666667,-0.43333333333333335,-0.4633333333333333,-0.4033333333333333,-0.36666666666666664,-0.4066666666666667,-0.3283333333333333,-0.4693980084921209,-0.4858650143088481,-0.4522544763732549,0.12833333333333333,0.8166666666666667
vs_passive,passive_replicas,q_soft_replicas,high_capacity,200,-5.279916666666667,-6.787611458333333,-3.824921875,-0.045,-0.075,-0.02,-0.1,-0.165,-0.035,-0.009621375671115333,-0.01208402992246086,-0.007429218017738036,0.28,0.58
vs_passive,passive_replicas,q_soft_replicas,intermediate_capacity,200,-167.541125,-181.4131145833333,-153.6255135416667,-0.77,-0.825,-0.71,-0.645,-0.715,-0.575,-0.5807422138904719,-0.6238122269546175,-0.536103178038786,0.06,0.92
